"","year","CITYGB","name_short","name","total_population_adm","total_population_city","non_agri_population_admin","non_agri_population_city","natural_growth_admin","natural_growth_city","AREA","PROVGB","EPROV","ECITY","CPROV","CCITY","CNTYGB","ECNTY","CCNTY","zhigong_number_adm","zhigong_number_city","total_wage_adm","total_wage_city","average_wage_adm","average_wage_city","gdp_adm","gdp_city","fdi_cont_adm","fdi_cont_city","fdi_real_adm","fdi_real_city","year_linear","post_t"
"11-1994","1994","11","北京","北京",1061.75,"724.07",683.84,"609.33",2.1,"1",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,471.83,435.13,"3070000","2900000",6549.47,"6706.75",10830377,9714848,505300,377305,194740,122277,1,FALSE
"11-1995","1995","11","北京","北京",1076.98,"733.72",698.04,"619.40",2.15,"0.79",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,471,432,"3820382","3600373",8144,"8353",13948900,12387738,273505,227235,107996,88080,3,FALSE
"11-1996","1996","11","北京","北京",1077.7,"737.40",709.7,"627.30",1.08,"0.21",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,461,423,"4423882","4166466",9580,"9820",16157300,8855400,NA,NA,NA,NA,4,FALSE
"11-1997","1997","11","北京","北京",1216.7,"920.12",722.69,"653.27",0.74,"0.14",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,467.2,430,"5147632","4855241",11018,"11291",18100900,12888400,252670,64063,107729,53356,5,FALSE
"11-1998","1998","11","北京","北京",1223.39,"981.86",733.64,"671.77",6.14,"6.11",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,425.9,387.9,"5302906","4940014",12451,"12735",20113100,17809800,409677,232764,206415,116784,6,TRUE
"11-1999","1999","11","北京","北京",1249.9,"1052.7",747.2,"699.7",0.09,"-0.41",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,411,385,"5773301","5484891",14054,"14255",21744600,18245780,181685,103227,178191,114831,7,TRUE
"11-2000","2000","11","北京","北京",1107.53,"    974.14",760.7,"    726.88",-0.49,"    -0.53",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,406.08,389.5,"6639343","    6440619",16350,"    16536",24787600,23323050,433084,428137,245849,237810,8,TRUE
"11-2001","2001","11","北京","北京",1122.3,"988.1",780.1,"744.1",0.63,"0.39",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,405.8,385,"7772635","7511091",19153.86,"19509.33",28456500,26979400,287294,275120,400997,394926,9,TRUE
"11-2002","2002","11","北京","北京",1136.3,"1067",806.9,"787.5",0.7,"0.55",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,435.1,421.7,"9508796","9323168",21854.28,"22108.53",32127100,31245124,553353,545323,509912,507334,10,TRUE
"11-2003","2003","11","北京","北京",1148.82,"1079.22",830.8,"809.61",-1.14,"-1.16",NA,11,"Beijing","Beijing","北京市","北京市",NA,NA,NA,434.15,419.76,"10989365","10786972",25312.37,"25697.95",36631000,35572637,327132,310014,214675,210275,11,TRUE
